precision,recall,hmean
0.7954545454545454, 0.23212226066897348, 0.35937500000000006
0.7063157894736842, 0.19348327566320647, 0.3037573562698054
0.8916083916083916, 0.4411764705882353, 0.5902777777777778
0.9242942686056459, 0.6231257208765859, 0.7444023424044093
0.9277870216306157, 0.803921568627451, 0.8614243781863125
0.9197443181818182, 0.7468281430219147, 0.8243157224697645
0.8982318271119842, 0.6591695501730104, 0.7603525694328954
0.9287873698354048, 0.7972895040369089, 0.8580294802172227
0.9122562674094707, 0.7554786620530565, 0.8264984227129337
0.9108119478334035, 0.6242791234140715, 0.740804106073567
0.9004464285714285, 0.581603229527105, 0.7067274001401541
0.8988288874430709, 0.7967128027681661, 0.8446958116783858
0.9075579644685335, 0.8690888119953863, 0.8879069082339078
0.9134146341463415, 0.8638985005767013, 0.8879668049792531
0.9412857673727238, 0.7303921568627451, 0.8225361259944796
0.9292593822650282, 0.8068050749711649, 0.8637135360395123
0.9392317380352645, 0.8601499423298731, 0.8979530403371463
0.9141429909459882, 0.8442906574394463, 0.8778294108829261
0.92241653418124, 0.8365051903114187, 0.8773627703009224
0.9330763840224247, 0.7678777393310265, 0.8424549193293261
0.9483027094363127,  0.8780276816608996, 0.911813145680491
0.9557975656630365, 0.8604382929642446, 0.9056145675265554
0.9283573141486811, 0.8930219146482122, 0.9103468547912993
0.9222952779438135, 0.8898500576701269, 0.9057822130906957
0.9421068337809609, 0.910322952710496, 0.9259422202669013
0.935423197492163, 0.8604382929642446, 0.8963652748573147
0.9360248447204969, 0.8690888119953863, 0.9013157894736842
0.9383727990285368, 0.8912918108419838, 0.9142265601892932
0.9521276595744681, 0.8774509803921569, 0.913265306122449
0.9497518610421837, 0.8829296424452133, 0.9151225343693963
0.9476849067949489, 0.908881199538639, 0.9278775390050044
0.9458771092008914, 0.8566897347174164, 0.8990770161900439
0.954434250764526, 0.8999423298731257, 0.9263876521222915
0.9559880239520958, 0.9207035755478662, 0.9380141010575793
0.9492753623188406, 0.9065743944636678,0.9274336283185841
0.9589166159464394, 0.9085928489042676, 0.9330766952916791
0.9614349775784753, 0.9273356401384083,0.9440774988991635
0.9617239300783604, 0.9201268742791234,0.9404656646035957

