precision,recall,hmean
0.7655293088363955,  0.25230680507497116,  0.37952721752331386
0.7313432835820896,  0.05651672433679354,  0.10492505353319058
0.3684210526315789,  0.002018454440599769, 0.0040149125322626895
0.901646639964397,  0.5841983852364475,  0.7090113735783027
0.8831168831168831,  0.6078431372549019,  0.7200683176771989
0.8654327163581791, 0.4988465974625144,  0.6328882385220413
0.8766637089618456, 0.5697808535178778,  0.6906675987416988
0.8841714756801319,  0.6185121107266436,  0.7278588394977944
0.865531914893617,  0.5865051903114187,  0.6992093502921967
0.897503285151117,  0.39388696655132643,  0.5474949899799599
0.9064719810576164, 0.6623414071510957,  0.76541152949017
0.8134502923976609, 0.4010957324106113,  0.537273078408652
0.8947723440134907, 0.7649942329873126,  0.82480957562568
0.9008264462809917, 0.6914648212226067,  0.7823817292006526
0.845531914893617, 0.5729527104959631,  0.6830525953936061
0.8860068259385665, 0.748558246828143,  0.811503594873398
0.9271091811414393, 0.8618800461361015,  0.893305439330544
0.9119646498980285, 0.7736447520184544,  0.8371294851794071
0.9257656458055925, 0.8019031141868512,  0.8593943139678616
